Atributo,Métrica,Definição
Defesa,,"É como um time se organiza taticamente quando não está em posse da bola para evitar que o adversário marque. Inclui recuperar a posse, evitar chances de gols e manter a compactação para defender efetivamente. "
Defesa,PPDA,"“Passes por Ação Defensiva”. Mede a intensidade da pressão defensiva calculando o número de passes permitidos por um time antes de tentar uma ação defensiva. Quanto menor o PPDA, maior a intensidade da pressão defensiva."
Defesa,Intensidade defensiva,"Número de duelos defensivos, duelos livres, interceptações, desarmes e faltas quando a posse é do adversário, ajustado pela posse do adversário. Mede quão ativamente um time se envolve em ações defensivas em relação à quantidade de tempo que o adversário tem a bola."
Defesa,Duelos defensivos vencidos (%),Porcentagem de duelos defensivos no solo que interrompem com sucesso a progressão de um oponente ou recuperam a posse de bola. Mede a eficácia de um time em desafios defensivos no solo.
Defesa,Altura defensiva (m),"Altura média no campo, medida em metros, das ações defensivas de um time."
Defesa,Velocidade do passe adversário,"Velocidade com que o time adversário move a bola por meio de passes. Isso pode ser influenciado pelo estilo de jogo do adversário, como ataque direto ou futebol baseado em posse de bola."
Defesa,Entradas do adversário no último terço (%),Porcentagem de posses do time adversário que progridem com sucesso para o terço final do campo. Informa a efetividade do adversário em penetrar na configuração defensiva e avançar em direção ao gol.
Defesa,Entradas do adversário na área (%),Porcentagem de posses ou passes que se movem com sucesso do terço final do campo para a área do adversário. Informa a efetividade do adversário em penetrar na configuração defensiva e criar oportunidades de gol.
Defesa,xT adversário,Ameaça esperada baseada em ações (xT) por 100 passes bem-sucedidos do adversário originados de dentro da área defensiva da equipe.
Transição defensiva,,"Refere à fase do jogo em que um time perde a posse da bola e deve mudar rapidamente do ataque para a defesa. Os objetivos principais durante esta fase incluem reorganizar-se defensivamente, aplicar pressão para recuperar a posse e impedir que o adversário explore lacunas criadas durante a fase de ataque. Transições defensivas eficazes são cruciais para interromper os contra-ataques do oponente e manter a estabilidade defensiva."
Transição defensiva,Perdas de posse na linha baixa,"Perdas de posse devido a passes errados (Turnovers), erros de domínio ou duelos ofensivos perdidos, nos 40% defensivos da equipe, ajustados pela posse.Turnovers elevados indicam a frequência com que um time perde a posse em áreas perigosas."
Transição defensiva,Altura da perda de posse (m),"Altura média no campo, medida em metros, onde ocorrem perdas de posse."
Transição defensiva,Recuperações de posse em 5s (%),"Porcentagem de recuperações de bola que ocorrem em até 5 segundos após a perda da posse. Destaca a capacidade de um time recuperar rapidamente o controle da bola após perdê-la, geralmente por meio de estratégias eficazes de pressão e contrapressão."
Transição defensiva,Tempo médio ação defensiva (s),"Tempo que o time leva para executar uma ação defensiva, após perder a posse de bola. Reflete a capacidade de resposta e o tempo de reação de um time em situações defensivas."
