,Temporada,rodada,game_id,data,partida,team_id,clube,possession,opponent_possession,place,Defesa,Transição defensiva,Transição ofensiva,Ataque,Criação de chances,PPDA,Intensidade defensiva,Duelos defensivos vencidos (%),Altura defensiva (m),Velocidade do passe adversário,Entradas do adversário no último terço (%),Entradas do adversário na área (%),xT adversário,Perdas de posse na linha baixa,Altura da perda de posse (m),Recuperações de posse em 5s (%),Tempo médio ação defensiva (s),Tempo médio para recuperação de posse,Entradas do adversário no último terço em 10s da recuperação da posse,Entradas do adversário na área em 10s da recuperação da posse,xG do adversário em 10s da recuperação da posse,Recuperações de posse,Altura da recuperação de posse (m),Posse mantida em 5s,Posse mantida em 5s (%),Entradas no último terço em 10s,Entradas na área em 10s,xG em 10s da recuperação da posse,xT em 10s da recuperação da posse,Field tilt (%),Bola longa (%),Velocidade do passe,Entradas no último terço (%),Entradas na área (%),xT (Ameaça esperada),Toques na área,"Finalizações (pEntrada na área, %)",Finalizações (exceto pênaltis),Grandes oportunidades,xG (exceto pênaltis),Gols (exceto pênaltis),xG (pFinalização),Bola em jogo (minutos),xG (Total),Diferença de gols,Gols sofridos,Gols marcados
0,2026,24,1955882,2026-08-25,Botafogo RJ 2.0 x 3.0 Athletico Paranaense,1227,Botafogo RJ,62.94,37.06,Casa,0.9300824131612593,1.3188674216832665,1.1615429487126632,1.4823518806786966,1.3192023354958102,-0.008541844553998333,0.44908427691071395,-0.11176534694825342,1.9695154586895152,-1.8992490176529424,0.265044309800377,1.4806931540303556,1.2979693,1.1906558655456991,1.324572806418471,0.6090067761608974,0.374470313913228,-0.21797893256458709,2.1228889797205155,0.6373520350483797,-0.71287477,1.189261256465009,1.3246177750120518,1.587541032133784,0.35496744167194205,0.9761221333053574,0.5811822102187858,-0.44180858,1.3105333,1.2275313067578586,-0.4180354807728222,-0.42484207801392054,2.1686587758881335,0.8956438402534258,1.6375736,1.9581447905639375,0.4392175333871498,3.0188428309425177,0.6667692860264167,1.7805095,0.3829197905337418,-0.6225801329586058,2.4727642114216555,1.7458845,-0.662964403479775,-1.1861605052378226,0.29855734834483033
1,2026,24,1955882,2026-08-25,Botafogo RJ 2.0 x 3.0 Athletico Paranaense,1243,Athletico Paranaense,37.06,62.94,Fora,-1.1089310885021981,-1.4606485928480497,-0.7126925658703472,-0.751524751802758,-0.35654973910058135,-1.0503434294347473,-0.3603628010843475,0.4617296656349936,-2.112674004246621,0.5820709725071048,-2.0086548159713398,-0.593679514828979,-0.59340096,-0.942122494476538,-1.5549600636487626,-0.8928292649604936,0.7009396702400245,0.7362114328008198,-2.0347407404364333,-1.3107710728304647,-0.672363,-0.41125795729473574,-1.4606729778223528,0.4622245516395927,0.9219481761708932,-1.3689263137876653,-0.47205518296516197,0.570079,-1.0254675,-0.9289571327719379,0.8667207442154001,1.7360794812189453,-0.29209453881219766,-1.3810236287139022,-0.4040237,-1.5502047040948836,-1.4964377315874864,-0.955331428025911,0.12467574523850741,-0.20533386,1.6752145852131453,0.7815656851872455,-0.3209318295679217,-0.2694921,0.3692744729379982,-1.2567574357593627,1.47026414181486
2,2026,24,1955903,2026-08-23,Vitoria 0.0 x 2.0 Bahia,1221,Bahia,58.42,41.58,Fora,-0.26083255946167333,-0.4309304872003648,0.31166526989035054,-0.015452169510608238,1.9479434037691519,0.19645682340835308,-0.14972142582645162,1.34716297739049,-0.8457474811521188,0.9699184335477253,-0.8944261136383753,-0.5357356649603481,0.6586737,0.13209595976556215,-0.44915615656011987,-0.20164182126318209,0.0014715545944166699,0.07818843069053394,-0.5716641052465073,-0.8349976467603941,0.021894805,0.10514928986034672,-0.13119553430325168,-0.2099529500821489,-1.1966647828810932,1.1355075758190476,1.0068283101387354,0.2776721,-0.036345072,-0.38134302922905644,1.7850685720098949,-0.505587632447327,-1.102733621841458,1.9651271100863397,-0.54285914,0.6926600565968546,2.0978001516175633,2.4391787414245307,3.111370802757413,2.6435957,1.118033988749895,0.7116906288438564,-0.8776252312451174,2.5425074,1.146829277313911,0.9364588413949084,0.7745966692414834
3,2026,24,1955906,2026-08-23,Chapecoense AF 1.0 x 0.0 Sao Paulo,1224,Sao Paulo,81.6,18.4,Fora,1.0143663951125506,0.9862722554113682,1.223730375441942,1.1705159549385182,1.1116437530111605,0.18549213743304588,2.806294198917928,-0.8145893370538889,0.6428388511556363,-0.22450838915348675,1.407873237980652,0.09040502243894132,1.1504703,1.1061132699918497,1.6774639880062434,0.6040009574702782,-0.6752096359171113,-0.46854305522678297,0.6629663121838064,0.4985454514635733,-1.1500521,2.922657229833349,1.3564280210858617,1.9719753290360278,0.3253821012727023,0.042115893934193335,0.0845531808580151,-0.6001659,0.9646526,1.4090305270510122,-0.8511410677254726,0.4708958271427734,-0.06990874778699696,0.6884758882988958,2.6544662,2.3953251569415976,-0.6274098324330227,1.7487189580313796,0.9882117688026184,2.0447404,-1.1861605052378226,0.3702643038678753,2.2581627791217795,1.672472,-0.5642181773706737,0.27675936240866555,-1.1707322644771172
4,2026,24,1955888,2026-08-23,Palmeiras 4.0 x 1.0 Vasco da Gama,1226,Vasco da Gama,42.12,57.88,Fora,-0.2298623002474946,-0.7331509679589954,-0.4927534803310512,-0.9861037388253243,-0.0750251226013259,-0.3206200326193335,-0.4696301711378972,0.4413527664725314,-0.652169627838659,-0.8532879313489679,-0.040814444003815675,0.10661784730385628,-0.25350168,-0.8143431129799741,-1.0165712494866226,2.081675106244492,1.3235058879438804,-0.32044052212850177,0.03267764471371094,-1.1343671540830957,0.060101673,-0.8222727455468076,-0.6430080004522429,-1.0914905099230177,-0.7509897388986284,-0.07641731153479586,0.21168821569440294,0.27707875,-0.53502053,-1.3077327165599164,-1.6088804523314202,1.0221954953824726,-0.9287363472505358,-0.6459158145102543,-1.0620301,-0.9983615236452291,-0.29257028693538834,-1.1215406382032533,0.4240057505435793,0.48683143,-0.09365858115816933,1.751841365278033,-0.8745769416565732,0.46566033,-1.7821601753240222,-2.1443508269889544,-0.13779456365238751
5,2026,24,1955894,2026-08-23,Cruzeiro 2.0 x 1.0 Flamengo,1230,Cruzeiro,50.59,49.41,Casa,-1.103384528651469,0.6119181476899518,1.0417833308895597,0.13484417100991247,0.5106254483669259,-1.0628434234617812,-0.6549737613670987,-0.6086506647973221,0.39086876366841816,-1.2637759066825314,-0.9434700409331912,-1.1592218470479503,-2.5295985,0.26187628479852754,0.6041133058695971,0.008238977642865486,-0.01769874324534695,0.3639793246092392,1.160766192426531,0.4209168076651519,-2.222188,-0.19105148799306956,0.6144690690015768,0.9533676307336885,0.2887599915682045,1.5391857333780405,2.0297450667140082,-0.08226058,1.304984,-0.03535007132621456,-1.411512271510401,0.16682690979587964,0.5910596645165329,-0.5818021741347993,0.56546926,0.6500277537862168,0.8023387608226751,2.1059330492407313,0.05463583647081526,-0.18837388,0.7579925355151066,-1.0429666442427343,0.42450397791996336,-0.26622295,0.6013200334584025,0.3266793038882824,0.6416889479197478
6,2026,24,1955888,2026-08-23,Palmeiras 4.0 x 1.0 Vasco da Gama,1234,Palmeiras,57.88,42.12,Casa,0.46436220911811216,-0.6494294272952823,0.3561520097043607,0.1024956667185827,-0.10180235905569422,0.14646491519262106,0.09974000304621349,0.09612613377068396,0.6562513817613752,-1.0501603615446757,0.7850563773293825,0.5321582351913011,0.4029589,-0.0722717939840254,-0.3169352961580388,1.58223022787603,0.5122526622506847,0.7747185786152835,-0.6889157903110906,-1.5195948287279744,-1.4135643,0.3563853049252203,0.13542585155077497,1.4316447953382525,2.0418416681060036,-0.2633810863072655,0.4193139346887673,-0.28789124,0.057523258,0.33079658108526827,-1.0953547500626737,0.24504800164909957,0.17661898865018738,-0.5104739878659313,0.41304109,-0.7327146583666005,-0.3756251988100446,-0.4435327625727437,0.43301270189221935,-0.27082965,1.1022331085289059,0.029981141670728,0.8890537580678148,0.27271238,1.577986007744508,-0.16012815380508713,1.8041409815599634
7,2026,24,1955900,2026-08-23,Coritiba 2.0 x 1.0 Corinthians,1236,Coritiba,32.87,67.13,Casa,-0.23558415861855414,0.5756118209885143,0.639901121996577,0.19229262508785694,-0.380717406789183,0.23537058716787698,-0.012889651118330861,-0.30237885876611664,-0.25921240721041267,0.18803468230701348,-0.06345122589203724,-1.4167776169723751,0.3267957,0.06972063977886662,-0.0689122693768398,0.5570803749121811,0.32758631646056247,1.0425023041177028,1.629520629525391,0.6721182840266394,0.9833122,0.2760297034763869,1.035186476426709,0.11292427354582417,-0.38310073800791367,1.1098154127375723,0.41940165476773117,-0.7217397,0.8860492,0.11614941656577472,0.41839034935098146,0.5056899649661131,-0.3339948691860269,1.126533871200783,-0.13951792,0.15088031037312558,-0.10021948715528377,0.25015807191061107,-1.1947923148831594,-1.1402043,0.7334868646580739,-1.0560145201155733,-0.25140991000329815,-1.1509048,0.6331650744836317,0.2655251346338086,0.6652991438591156
8,2026,24,1955900,2026-08-23,Coritiba 2.0 x 1.0 Corinthians,1237,Corinthians,67.13,32.87,Fora,0.41371396821729156,0.3328267481897381,0.20245914804696094,1.2868627046339787,-0.03600152000544249,0.08962254242218845,1.051661105346187,-1.9235354980287005,0.872465962290231,-0.5622472108542906,0.6525586003079255,-0.23900548658429996,0.312517,0.9305748484354661,1.7629018995336097,0.6656605571832956,-0.5145287329435415,0.2839898922570106,-0.8460686766943661,-0.5161010785157569,0.4621768,0.6287796882682538,-0.29796718618350265,2.050638827577798,1.4835801083182847,-1.3057240004290662,-0.07800764512385157,-0.7643135,0.2170352,0.6987961118805809,-0.09743534412673063,-0.27194405990626275,0.7553478197982378,2.0853970882349646,1.6079098,2.0804383251822887,-0.38626492167816223,0.8100556869166377,-1.1669199319831562,-0.9463929,-0.12340351046845906,-1.2104138439758034,1.7358506823216577,-0.9463929,-0.813733471206735,-1.0650358071057624,-0.12340351046845906
9,2026,24,1955903,2026-08-23,Vitoria 0.0 x 2.0 Bahia,1238,Vitoria,41.58,58.42,Casa,-0.02192270502178703,0.022694894783823,0.5000041806441674,0.6849271463522171,-0.3550545234494526,0.551074139308577,0.17468515790976044,-0.4409461131117241,0.2368238881692573,0.38876236092650945,1.0925019716476807,-1.7110601678794737,-0.13277745,0.22617116270395216,1.524110495007279,0.4171947576470413,-0.12590819770990663,0.06127937542114004,-0.764945876417371,-0.8945562021585682,0.1158971,-0.47180917229093416,0.7163639953942377,0.2582672098885296,0.7702999987782717,0.8900024213633336,1.4411533842457842,0.29379842,0.16604725,0.5381560212614427,1.0053121870955317,-0.9626996601497678,1.3576097834556482,1.5223134948793995,-0.6783707,1.0257875290552843,-0.6139485740172148,0.5900786143255299,-0.8944271909999159,-0.8970122,-1.0513149660756935,-1.57802855634159,-0.6504724964050899,-0.9892382,-0.9166984970282114,-0.46357277041155975,-1.1146949051692747
